,Titular,Partido,Gobierno,Inicio,Fin,duracion
88,Alberto Elmore Fernández,,,14 de mayo de 1904,24 de septiembre de 1904,
89,Augusto Leguía,Partido Civil,José Pardo y Barreda (1.º gob.),24 de septiembre de 1904,1 de agosto de 1907,
90,Agustín Tovar Aguilar,,,1 de agosto de 1907,9 de octubre de 1907,
91,Carlos Alberto Washburn Salas,,,9 de octubre de 1907,24 de septiembre de 1908,
92,Eulogio I. Romero Salcedo,,Augusto Leguía,24 de septiembre de 1908,8 de junio de 1909,
93,Rafael Villanueva Cortez,,,8 de junio de 1909,14 de marzo de 1910,
94,Javier Prado y Ugarteche,Partido Civil,,14 de marzo de 1910,3 de agosto de 1910,
95,Germán Schreiber Waddington,Partido Civil,,3 de agosto de 1910,21 de octubre de 1910,
96,José Salvador Cavero Ovalle,Partido Constitucional,,3 de noviembre de 1910,27 de diciembre de 1910,
97,Enrique C. Basadre Stevenson,,,27 de diciembre de 1910,31 de agosto de 1911,
98,Agustín Guillermo Ganoza y Cavero,Partido Civil,,31 de agosto de 1911,24 de septiembre de 1912,
99,Elías Malpartida Franco,Partido Demócrata,Guillermo Billinghurst Angulo,24 de septiembre de 1912,23 de diciembre de 1912,
100,Enrique Varela Vidaurre,Militar,,24 de diciembre de 1912,24 de febrero de 1913,
101,Federico Luna y Peralta,,,24 de febrero de 1913,17 de junio de 1913,
102,Aurelio Sousa y Matute,,,17 de junio de 1913,27 de julio de 1913,
103,Enrique Varela Vidaurre,Militar,,27 de julio de 1913,4 de febrero de 1914,
104,Pedro E. Muñiz Sevilla,Militar,Óscar R. Benavides (1.º gob.),16 de mayo de 1914,1 de agosto de 1914,
105,Melitón Carvajal Ambulodegui,Marino (r),,1 de agosto de 1914,22 de agosto de 1914,
106,Aurelio Sousa y Matute,Partido Demócrata,,22 de agosto de 1914,11 de noviembre de 1914,
107,Germán Schreiber Waddington,Partido Civil,,11 de noviembre de 1914,19 de febrero de 1915,
108,Carlos Isaac Abril Galindo,,,19 de febrero de 1915,18 de agosto de 1915,
109,Enrique de la Riva Agüero,Partido Civil,José Pardo y Barreda (2.º gob.),18 de agosto de 1915,27 de julio de 1917,
110,Francisco Tudela y Varela,Partido Civil,,27 de julio de 1917,18 de diciembre de 1918,
111,Germán Arenas y Loayza,Partido Civil,,18 de diciembre de 1918,28 de abril de 1919,
112,Juan Manuel Zuloaga,Militar,,28 de abril de 1919,4 de julio de 1919,
113,Mariano Cornejo Zenteno,,Augusto Leguía,4 de julio de 1919,25 de agosto de 1919,
114,Melitón F. Porras Osores,,,25 de agosto de 1919,6 de diciembre de 1919,
115,Germán Leguía y Martínez,Partido Democrático Reformista,,6 de diciembre de 1919,7 de octubre de 1922,
116,Julio Ego-Aguirre Dongo,Partido Democrático Reformista,,7 de octubre de 1922,12 de octubre de 1924,
117,Alejandrino Maguiña,Partido Democrático Reformista,,12 de octubre de 1924,7 de diciembre de 1926,
118,Pedro José Rada y Gamio,Partido Democrático Reformista,,7 de diciembre de 1926,12 de octubre de 1929,
119,Benjamín Huamán de los Heros,Partido Democrático Reformista,,12 de octubre de 1929,24 de agosto de 1930,
120,Fernando Sarmiento Ramírez,Militar,,24 de agosto de 1930,25 de agosto de 1930,
121,Gustavo Jiménez Saldías,Militar,Junta Militar de Gobierno,28 de agosto de 1930,24 de noviembre de 1930,
122,Antonio Beingolea Balarezo,Marino,,24 de noviembre de 1930,1 de marzo de 1931,
123,David Samanez Ocampo[7]​,,Junta Nacional de Gobierno,11 de marzo de 1931,8 de diciembre de 1931,
124,Germán Arenas y Loayza,,Luis Miguel Sánchez Cerro,8 de diciembre de 1931,28 de enero de 1932,
125,Francisco R. Lanatta Ramírez,Unión Revolucionaria,,28 de enero de 1932,13 de abril de 1932,
126,Luis A. Flores Medina,Unión Revolucionaria,,13 de abril de 1932,20 de mayo de 1932,
127,Ricardo Rivadeneira Barnuevo,,,20 de mayo de 1932,10 de septiembre de 1932,
128,Carlos Zavala Loayza,Independiente,,10 de septiembre de 1932,22 de diciembre de 1932,
129,José Matías Manzanilla Barrientos,Unión Revolucionaria,,24 de diciembre de 1932,30 de abril de 1933,
130,José Matías Manzanilla Barrientos (continuación),,Óscar R. Benavides (2.º gob.),30 de abril de 1933,29 de junio de 1933,
131,Jorge Prado Ugarteche,,,29 de junio de 1933,24 de noviembre de 1933,
132,José de la Riva-Agüero y Osma,Partido Nacional Democrático,,24 de noviembre de 1933,18 de mayo de 1934,
133,Alberto Rey de Castro y Romaña,,,18 de mayo de 1934,24 de diciembre de 1934,
134,Carlos Arenas y Loayza,,,24 de diciembre de 1934,18 de mayo de 1935,
135,Manuel E. Rodríguez Dávila,Militar,,18 de mayo de 1935,13 de abril de 1936,
136,Ernesto Montagne Markholz,Militar,,13 de abril de 1936,19 de abril de 1939,
137,Manuel Ugarteche Jiménez,,,20 de abril de 1939,8 de diciembre de 1939,
138,Alfredo Solf y Muro,,Manuel Prado Ugarteche (1.º gob.),8 de diciembre de 1939,3 de diciembre de 1944,
139,Julio East Treviño,,,9 de diciembre de 1944,28 de julio de 1945,
140,Rafael Belaúnde Diez Canseco,Frente Democrático Nacional,José Luis Bustamante y Rivero,28 de julio de 1945,31 de enero de 1946,
141,Julio Ernesto Portugal Escobedo,Frente Democrático Nacional,,31 de enero de 1946,12 de enero de 1947,
142,José R. Alzamora Freundt,Marino,,12 de enero de 1947,30 de octubre de 1947,
143,Roque Saldías Maninat,Marino,,30 de octubre de 1947,17 de junio de 1948,
144,Armando Revoredo Iglesias,Aviador,,17 de junio de 1948,27 de octubre de 1948,
145,Zenón Noriega Agüero,Militar,Manuel A. Odría,28 de julio de 1950,9 de agosto de 1954,
146,Roque Saldías Maninat,Marino,,9 de agosto de 1954,junio de 1956,
147,Juan Mendoza Rodríguez,Militar,,junio de 1956,28 de julio de 1956,
148,Manuel Cisneros Sánchez,Movimiento Democrático Peruano,Manuel Prado Ugarteche (2.º gob.),28 de julio de 1956,9 de junio de 1958,
149,Luis Gallo Porras,Movimiento Democrático Peruano,,9 de junio de 1958,17 de julio de 1959,
150,Pedro Beltrán Espantoso,Independiente,,17 de julio de 1959,24 de noviembre de 1961,
151,Carlos Moreyra y Paz Soldán,Movimiento Democrático Peruano,,24 de noviembre de 1961,18 de julio de 1962,
152,Nicolás Eduardo Lindley López,Militar,Junta Militar,18 de julio de 1962,28 de julio de 1963,
153,Julio Óscar Trelles Montes,Acción Popular,Fernando Belaúnde Terry (1.º gob.),28 de julio de 1963,31 de diciembre de 1963,
154,Fernando Schwalb López-Aldana,Acción Popular,,31 de diciembre de 1963,15 de septiembre de 1965,
155,Daniel Becerra de la Flor,Acción Popular,,15 de septiembre de 1965,6 de septiembre de 1967,
156,Edgardo Seoane Corrales,Acción Popular,,6 de septiembre de 1967,17 de noviembre de 1967,
157,Raúl Ferrero Rebagliati,Partido Demócrata Cristiano,,17 de noviembre de 1967,30 de mayo de 1968,
158,Oswaldo Hercelles García,Independiente,,30 de mayo de 1968,2 de octubre de 1968,
159,Miguel Mujica Gallo,Independiente,,2 de octubre de 1968,3 de octubre de 1968,
160,Ernesto Montagne Sánchez,Militar,Juan Velasco Alvarado,3 de octubre de 1968,31 de enero de 1973,
161,Edgardo Mercado Jarrín,Militar,,31 de enero de 1973,1 de febrero de 1975,
162,Francisco Morales Bermúdez Cerrutti,Militar,,1 de febrero de 1975,30 de agosto de 1975,
163,Óscar Vargas Prieto,Militar,Francisco Morales Bermúdez,30 de agosto de 1975,31 de enero de 1976,
164,Jorge Fernández-Maldonado Solari,Militar,,31 de enero de 1976,16 de julio de 1976,
165,Guillermo Arbulú Galliani,Militar,,16 de julio de 1976,30 de enero de 1978,
166,Óscar Molina Pallochia,Militar,,30 de enero de 1978,31 de enero de 1979,
167,Pedro Richter Prada,Militar,,30 de enero de 1979,27 de julio de 1980,
168,Manuel Ulloa Elías,Acción Popular,Fernando Belaúnde Terry (2.º gob.),28 de julio de 1980,9 de diciembre de 1982,
169,Fernando Schwalb López-Aldana,Acción Popular,,9 de diciembre de 1982,10 de abril de 1984,
170,Sandro Mariátegui Chiappe,Acción Popular,,10 de abril de 1984,13 de octubre de 1984,
171,Luis Pércovich Roca,Acción Popular,,13 de octubre de 1984,27 de julio de 1985,
172,Luis Alva Castro,Partido Aprista Peruano,Alan García,28 de julio de 1985,26 de junio de 1987,
173,Guillermo Larco Cox,Partido Aprista Peruano,,27 de junio de 1987,13 de mayo de 1988,
174,Armando Villanueva del Campo,Partido Aprista Peruano,,13 de mayo de 1988,15 de mayo de 1989,
175,Luis Alberto Sánchez Sánchez,Partido Aprista Peruano,,15 de mayo de 1989,30 de septiembre de 1989,
176,Guillermo Larco Cox,Partido Aprista Peruano,,30 de septiembre de 1989,27 de julio de 1990,
177,Juan Carlos Hurtado Miller,Acción Popular,Alberto Fujimori,28 de julio de 1990,20 de febrero de 1991,
178,Carlos Torres y Torres Lara,Independiente,,15 de febrero de 1991,6 de noviembre de 1991,
