,Titular,Partido,Gobierno,Inicio,Fin,duracion
67,Carlos María Elías de la Quintana,Partido Constitucional,,30 de junio de 1892,3 de marzo de 1893,
68,Manuel Velarde Seoane,Partido Constitucional,,3 de marzo de 1893,11 de mayo de 1893,
69,José Mariano Jiménez Wald,,,11 de mayo de 1893,1 de abril de 1894,
70,Baltasar García Urrutia Muro,,Justiniano Borgoño Castañeda,1 de abril de 1894,10 de agosto de 1894,
71,Cesáreo Chacaltana Reyes,,Andrés Avelino Cáceres (2.º gob.),10 de agosto de 1894,16 de noviembre de 1894,
72,Manuel Yrigoyen Arias,Partido Constitucional,,16 de noviembre de 1894,21 de marzo de 1895,
73,Antonio Bentín y La Fuente,Partido Demócrata,Nicolás de Piérola,8 de septiembre de 1895,28 de noviembre de 1895,
74,Manuel Antonio Barinaga,,,30 de noviembre de 1895,5 de agosto de 1896,
75,Manuel Pablo Olaechea Guerrero,Partido Demócrata,,8 de agosto de 1896,3 de noviembre de 1897,
76,Alejandro López de Romaña Alvizuri,Partido Demócrata,,25 de noviembre de 1897,23 de diciembre de 1897,
77,Enrique de la Riva Agüero,,,23 de diciembre de 1897,13 de mayo de 1898,
78,José Jorge Loayza,,,16 de mayo de 1898,8 de septiembre de 1899,
79,Manuel María Gálvez Egúsquiza,,Eduardo López de Romaña,8 de septiembre de 1899,14 de diciembre de 1899,
80,Enrique de la Riva Agüero,Partido Civil,,14 de diciembre de 1899,30 de agosto de 1900,
81,Enrique Coronel-Zegarra Castro,Partido Demócrata,,30 de agosto de 1900,2 de octubre de 1900,
82,Domingo M. Almenara Butler,,,2 de octubre de 1900,11 de septiembre de 1901,
83,Cesáreo Chacaltana Reyes,Partido Civil,,11 de septiembre de 1901,9 de agosto de 1902,
84,Alejandro Deustua Escarza,,,9 de agosto de 1902,4 de noviembre de 1902,
85,Eugenio Larrabure y Unanue,,,4 de noviembre de 1902,8 de septiembre de 1903,
86,José Pardo y Barreda,Partido Civil,Manuel Candamo Iriarte,8 de septiembre de 1903,18 de abril de 1904 14 de mayo de 1904,
87,José Pardo y Barreda (continuación),Partido Civil,Serapio Calderón Chirinos,18 de abril de 1904,14 de mayo de 1904,
