0,1,2,3,4
Manuel Cisneros Sánchez,Movimiento Democrático Peruano,Manuel Prado Ugarteche (2.º gob.),28 de julio de 1956,9 de junio de 1958
Luis Gallo Porras,Movimiento Democrático Peruano,,9 de junio de 1958,17 de julio de 1959
Pedro Beltrán Espantoso,Independiente,,17 de julio de 1959,24 de noviembre de 1961
Carlos Moreyra y Paz Soldán,Movimiento Democrático Peruano,,24 de noviembre de 1961,18 de julio de 1962
Nicolás Eduardo Lindley López,Militar,Junta Militar,18 de julio de 1962,28 de julio de 1963
Julio Óscar Trelles Montes,Acción Popular,Fernando Belaúnde Terry (1.º gob.),28 de julio de 1963,31 de diciembre de 1963
Fernando Schwalb López-Aldana,Acción Popular,,31 de diciembre de 1963,15 de septiembre de 1965
Daniel Becerra de la Flor,Acción Popular,,15 de septiembre de 1965,6 de septiembre de 1967
Edgardo Seoane Corrales,Acción Popular,,6 de septiembre de 1967,17 de noviembre de 1967
Raúl Ferrero Rebagliati,Partido Demócrata Cristiano,,17 de noviembre de 1967,30 de mayo de 1968
Oswaldo Hercelles García,Independiente,,30 de mayo de 1968,2 de octubre de 1968
Miguel Mujica Gallo,Independiente,,2 de octubre de 1968,3 de octubre de 1968
Ernesto Montagne Sánchez,Militar,Juan Velasco Alvarado,3 de octubre de 1968,31 de enero de 1973
Edgardo Mercado Jarrín,Militar,,31 de enero de 1973,1 de febrero de 1975
Francisco Morales Bermúdez Cerrutti,Militar,,1 de febrero de 1975,30 de agosto de 1975
Óscar Vargas Prieto,Militar,Francisco Morales Bermúdez,30 de agosto de 1975,31 de enero de 1976
Jorge Fernández-Maldonado Solari,Militar,,31 de enero de 1976,16 de julio de 1976
Guillermo Arbulú Galliani,Militar,,16 de julio de 1976,30 de enero de 1978
Óscar Molina Pallochia,Militar,,30 de enero de 1978,31 de enero de 1979
Pedro Richter Prada,Militar,,30 de enero de 1979,27 de julio de 1980
Manuel Ulloa Elías,Acción Popular,Fernando Belaúnde Terry (2.º gob.),28 de julio de 1980,9 de diciembre de 1982
Fernando Schwalb López-Aldana,Acción Popular,,9 de diciembre de 1982,10 de abril de 1984
Sandro Mariátegui Chiappe,Acción Popular,,10 de abril de 1984,13 de octubre de 1984
Luis Pércovich Roca,Acción Popular,,13 de octubre de 1984,27 de julio de 1985
Luis Alva Castro,Partido Aprista Peruano,Alan García,28 de julio de 1985,26 de junio de 1987
Guillermo Larco Cox,Partido Aprista Peruano,,27 de junio de 1987,13 de mayo de 1988
Armando Villanueva del Campo,Partido Aprista Peruano,,13 de mayo de 1988,15 de mayo de 1989
Luis Alberto Sánchez Sánchez,Partido Aprista Peruano,,15 de mayo de 1989,30 de septiembre de 1989
Guillermo Larco Cox,Partido Aprista Peruano,,30 de septiembre de 1989,27 de julio de 1990
Juan Carlos Hurtado Miller,Acción Popular,Alberto Fujimori,28 de julio de 1990,20 de febrero de 1991
Carlos Torres y Torres Lara,Independiente,,15 de febrero de 1991,6 de noviembre de 1991
Alfonso de los Heros Pérez-Albela,Independiente,,6 de noviembre de 1991,6 de abril de 1992
Óscar de la Puente Raygada,Independiente,,6 de abril de 1992,28 de agosto de 1993
Alfonso Bustamante y Bustamante,Cambio 90,,28 de agosto de 1993,17 de febrero de 1994
Efraín Goldenberg Schreiber,Cambio 90,,17 de febrero de 1994,28 de julio de 1995
Dante Córdova Blanco,Cambio 90 - Nueva Mayoría,,27 de julio de 1995,3 de abril de 1996
Alberto Pandolfi Arbulú,Cambio 90 - Nueva Mayoría,,3 de abril de 1996,4 de junio de 1998
Javier Valle-Riestra González-Olaechea,Partido Aprista Peruano,,4 de junio de 1998,21 de agosto de 1998
Alberto Pandolfi Arbulú,Cambio 90 - Nueva Mayoría,,21 de agosto de 1998,4 de junio de 1999
Víctor Joy Way Rojas,Cambio 90 - Nueva Mayoría,,3 de enero de 1999,10 de octubre de 1999
Alberto Bustamante Belaúnde,Independiente,,10 de octubre de 1999,29 de julio de 2000
Federico Salas-Guevara Schultz,Independiente,,29 de julio de 2000,21 de noviembre de 2000
